asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,sales_volume,delivery
B0BQ118F2T,Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,$99.00 ,$169.99 ,USD,4.0,1319,16,$69.88 ,4K+ bought in past month,"FREE delivery Tue, Sep 24 Only 1 left in stock - order soon."
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",$69.00 ,$99.99 ,USD,3.8,597,35,$64.99 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
B09T3MQSVP,"Samsung Galaxy A13 5G Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)",$88.09 ,$98.27 ,USD,3.8,1338,31,$70.40 ,500+ bought in past month,"FREE delivery Mon, Sep 30"
B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",$49.99 ,$59.99 ,USD,4.4,3843,3,$25.19 ,4K+ bought in past month,"FREE delivery Tue, Sep 24"
B0C2SWQBMB,"Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Ink Blue, 163.94x74.98x8.39",$149.99 ,$249.99 ,USD,4.2,2637,8,$100.72 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CTD47P22,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Light Blue,$149.50 ,$158.00 ,USD,4.2,253,9,$146.50 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B0C22BRGLG,OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7&quot; LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray,$249.99 ,$299.99 ,USD,4.3,963,5,$209.28 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B09LKXHWCF,"Apple iPhone 13 Mini, 128GB, Blue - Unlocked (Renewed)",$355.81 ,$415.00 ,USD,4.1,4265,20,$303.99 ,500+ bought in past month,"FREE delivery Tomorrow, Sep 20"
B0BQ118F2T,Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue,$99.00 ,$169.99 ,USD,4.0,1319,16,$69.88 ,4K+ bought in past month,"FREE delivery Tue, Sep 24 Only 3 left in stock - order soon."
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",$69.00 ,$99.99 ,USD,3.8,597,35,$64.99 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",$49.99 ,$59.99 ,USD,4.4,3843,3,$25.19 ,4K+ bought in past month,"FREE delivery Tue, Sep 24"
B0C2SWQBMB,"Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Ink Blue, 163.94x74.98x8.39",$149.99 ,$249.99 ,USD,4.2,2637,8,$100.72 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CTD47P22,Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Light Blue,$149.50 ,$158.00 ,USD,4.2,253,9,$146.50 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B0C22BRGLG,OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7&quot; LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray,$249.99 ,$299.99 ,USD,4.3,963,5,$209.28 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B085TCRFST,"Alcatel 1 (16GB) 5.0&quot; Full View Display, Removable Battery, FM Radio, Dual SIM GSM Unlocked US &amp; Global 4G LTE International Version 5033E (Bluish Black)",$41.99 ,$44.70 ,USD,3.6,2048,7,$29.70 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B096T6Y623,"Samsung Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",$269.99 ,$294.00 ,USD,3.9,2362,69,$244.99 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CMDL3H3V,"SAMSUNG Galaxy S24+ Plus Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Camera, Fastest Processor, Long Battery Life, US Version, 2024, Onyx Black",$798.00 ,$999.99 ,USD,4.5,615,2,$741.99 ,1K+ bought in past month,"$10.33 delivery Fri, Oct 4"
B0CD99XXQY,"SAMSUNG Galaxy S23 FE AI Phone, 128GB Unlocked Android Smartphone, Long Battery Life, Premium Processor, Tough Gorilla Glass Display, Hi-Res 50MP Camera, US Version, 2023, Mint",$499.99 ,$599.99 ,USD,4.5,1159,2,$451.19 ,200+ bought in past month,"FREE delivery Wed, Sep 25"
B0CSF1MRRR,BLU G63 | 2023 | 3-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 128/4GB | Dual 13MP Camera | US Version | US Warranty | Green,$89.99 ,$129.99 ,USD,3.9,92,5,$79.99 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B01H1E3EAA,"AT&amp;T TRIMLINE 213 Corded Home Phone with Extra Big Buttons &amp; Visual Ringer. No AC Power Required, Improved Easy-Wall-Mount, Lighted Keypad, 10 Speed Dial Keys, Volume Control, Senior Friendly. White",$17.56 ,$19.95 ,USD,4.4,315,2,$13.28 ,900+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B0BZ9XNBRB,Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB – Charcoal,$344.95 ,$499.00 ,USD,4.3,2482,21,$318.00 ,1K+ bought in past month,FREE delivery
B0CTD42NJZ,"SAMSUNG Galaxy A15 5G (SM-156M/DSN), 256GB 8GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)",$183.69 ,$199.00 ,USD,4.3,146,7,$176.35 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B0C1Q3MVBP,"Samsung Galaxy A14 5G A Series, Factory Unlocked, 64GB, US Version, Black (Renewed)",$98.52 ,$172.00 ,USD,3.7,762,23,$88.98 ,2K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CCT2BR1J,Tracfone Samsung Galaxy A14 5G Locked 64GB 5000mAh Battery 50 MP triple-camera system 6.6-in. FHD+ LCD Display Black,$99.88 ,$119.99 ,USD,4.2,308,2,$64.99 ,200+ bought in past month,"FREE delivery Tue, Sep 24"
B08VLMQ3KS,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",$209.99 ,$249.00 ,USD,3.9,6272,5,$164.99 ,2K+ bought in past month,"FREE delivery Sat, Sep 21 Or fastest delivery Tomorrow, Sep 20 Only 20 left in stock - order soon."
B09T3MQSVP,"Samsung Galaxy A13 5G Cell Phone, AT&amp;T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)",$88.82 ,$98.27 ,USD,3.8,1338,31,$70.40 ,500+ bought in past month,FREE delivery Sep 23 - 24 Only 1 left in stock - order soon.
B088NQXD8T,"Apple iPhone SE 2nd Generation, US Version, 64GB, Black - Unlocked (Renewed)",$128.00 ,$156.86 ,USD,4.3,18826,40,$96.69 ,2K+ bought in past month,FREE delivery
B08PMYLKVF,"Apple iPhone 12 Pro, 128GB, Pacific Blue - Fully Unlocked (Renewed)",$387.00 ,$521.01 ,USD,4.2,10317,17,$353.72 ,1K+ bought in past month,"FREE delivery Tomorrow, Sep 20 Only 12 left in stock - order soon."
B09YDMWFT1,Motorola Moto Edge 5G UW 256gb Nebula Blue for Verizon (Renewed),$96.26 ,$124.56 ,USD,4.1,313,10,$89.22 ,50+ bought in past month,"FREE delivery Sep 25 - 27 Or fastest delivery Tomorrow, Sep 20"
B08PNCYYVZ,"Apple iPhone 12, 128GB, Black - Fully Unlocked (Renewed)",$287.30 ,$314.99 ,USD,4.1,25638,20,$284.92 ,2K+ bought in past month,FREE delivery Sep 24 - 26 Only 1 left in stock - order soon.
B0DC6L8DXL,"SPIDERCASE Magnetic for iPhone 16 Plus Case,with 2 Pcs [Tempered Glass Screen Protector] Translucent Matte Back Slim Shockproof Protective Phone Case for iPhone 16 Plus 6.7&#x27;&#x27;,Black",$9.99 ,$19.99 ,USD,4.3,158,1,$9.99 ,100+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B0BTFHM2GZ,"Panasonic Cordless Phone with Advanced Call Block, Link2Cell Bluetooth, One-Ring Scam Alert, and 2-Way Recording with Answering Machine, 5 Handsets - KX-TGF975B (Black with Silver Trim)",$159.99 ,$179.99 ,USD,4.3,1325,3,$98.03 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CV4NH5T9,"SAMSUNG Galaxy A35 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Rugged Design, US Version, 2024, Awesome Lilac",$349.99 ,$399.99 ,USD,4.4,266,3,$313.91 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B09BTB5MKT,Motorola Moto G Pure | 2021 | 2-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 13MP Camera | Deep Indigo,$98.93 ,$159.99 ,USD,4.1,2079,7,$80.04 ,300+ bought in past month,"FREE delivery Wed, Sep 25"
B0BV5SV5HL,Samsung Galaxy S23 Ultra 5G SM-S918B/DS Dual SIM 256GB ROM 8GB RAM GSM Factory Unlocked Global Model (Mobile Cell Phone) (Phantom Green),$799.99 ,$859.99 ,USD,4.4,380,11,$759.50 ,400+ bought in past month,"FREE delivery Sat, Sep 21 Or fastest delivery Tomorrow, Sep 20"
B09LKXHWCF,"Apple iPhone 13 Mini, 128GB, Blue - Unlocked (Renewed)",$355.81 ,$415.00 ,USD,4.1,4265,20,$303.99 ,500+ bought in past month,"FREE delivery Tomorrow, Sep 20"
B092NTYZ78,"Panasonic Compact Cordless Phone with DECT 6.0, 1.6&quot; Amber LCD and Illuminated HS Keypad, Call Block, Caller ID, Multiple Display Languages - 1 Handset - KX-TGB810S (Black/Silver)",$19.89 ,$24.99 ,USD,4.2,5617,3,$12.14 ,1K+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B09V5LDZQ4,"Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera &amp; Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black (Renewed)",$225.62 ,$379.99 ,USD,4.0,1980,38,$204.00 ,2K+ bought in past month,"FREE delivery Fri, Sep 27 Or fastest delivery Tomorrow, Sep 20 Only 11 left in stock - order soon."
B0CQ9SZJN6,"OnePlus 12R, 16GB RAM+256GB, Dual-SIM, US Factory Unlocked Android Smartphone, 5500 mAh Battery, 50MP Camera, 80W Fast Charging, 2024, Iron Gray",$549.99 ,$599.99 ,USD,4.4,397,2,$493.11 ,400+ bought in past month,"FREE delivery Tue, Sep 24"
B09SNPBN6B,Moto G Power | 2022 | 3-Day Battery | Unlocked | Made for US by Motorola | 4/64GB | 50 MP Camera | Dark Grove,$179.99 ,$199.99 ,USD,4.2,10670,6,$79.79 ,List: ,"FREE delivery Tue, Sep 24 Only 17 left in stock - order soon."
B09LG4PSB6,Samsung Galaxy S20 FE 5G 128GB Blue Verizon (Renewed),$152.93 ,$478.98 ,USD,4.1,1184,31,$133.99 ,500+ bought in past month,FREE delivery Sep 23 - 24 Only 20 left in stock - order soon.
B0BLZN9NDG,"SAMSUNG,Galaxy A04e (SM-A042M/DS) Dual SIM 32GB,6.5&#x27;&#x27; GSM Unlocked,International Version-Black",$88.99 ,$105.00 ,USD,3.8,700,10,$70.00 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B08WF93R89,"Samsung Galaxy S21 5G, US Version, 256GB, Phantom Gray - Unlocked (Renewed)",$238.99 ,$849.99 ,USD,4.0,1038,15,$164.99 ,400+ bought in past month,FREE delivery Sep 23 - 25 Only 2 left in stock - order soon.
B09XP9FX25,"Samsung Galaxy A53 5G A Series Cell Phone, Factory Unlocked Android Smartphone, 128GB, 6.5” FHD Super AMOLED Screen, Long Battery Life, US Version, Black (Renewed)",$169.99 ,$189.00 ,USD,3.9,411,14,$127.16 ,200+ bought in past month,"FREE delivery Sat, Sep 21 Or fastest delivery Tomorrow, Sep 20 Only 3 left in stock - order soon."
B0BDP9S53V,SAMSUNG S21 FE 128GB GRAY TMOBILE (Renewed),$169.99 ,$188.00 ,USD,4.0,131,19,$162.82 ,50+ bought in past month,FREE delivery
B07C4WX72D,"VTech SN5147 Amplified Corded/Cordless Senior Phone with Answering Machine, Call Blocking, 90dB Extra-loud Visual Ringer, One-touch Audio Assist on Handset up to 50dB, White",$63.98 ,$109.95 ,USD,4.0,6350,23,$29.95 ,1K+ bought in past month,FREE deliveryOnly 10 left in stock - order soon.
B0CYQ916ZY,"Google Pixel 8a - Unlocked Android Phone with Google AI, Advanced Pixel Camera and 24-Hour Battery - Obsidian - 128 GB",$399.00 ,$499.00 ,USD,4.2,400,2,$383.04 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CRFB8HW4,"SAMSUNG Galaxy A05 (128GB, 4GB) 6.7&quot; Dual SIM Fully Unlocked Global 4G LTE A055M/DS (Black)",$111.07 ,$119.99 ,USD,4.0,101,10,$94.76 ,500+ bought in past month,"FREE delivery Wed, Sep 25"
B0BZG31S2R,"Panasonic Cordless Phone with Answering Machine, Link2Cell Bluetooth, Voice Assistant and Advanced Call Blocking, Expandable System with 4 Handsets - KX-TGD864W (White)",$99.99 ,$119.99 ,USD,4.4,1332,7,$46.20 ,1K+ bought in past month,"FREE delivery Tue, Sep 24"
B0CV1FCLLR,"Motorola Moto G14 Dual SIM (2023) 4G LTE (4/128GB) 6.5&quot;&quot; IPS LDC Display | Android 13 | 50MP Rear Camera | 5000mAh Battery | International Model - (Steel Gray), XT2341-2",$103.12 ,$149.99 ,USD,3.8,37,7,$102.96 ,400+ bought in past month,"FREE delivery Wed, Oct 2 Only 6 left in stock - order soon."
B0CQ5JGH2Y,"OnePlus 12,16GB RAM+512GB,Dual-SIM,Unlocked Android Smartphone,Supports 50W Wireless Charging,Latest Mobile Processor,Advanced Hasselblad Camera,5400 mAh Battery,2024,Flowy Emerald",$799.99 ,$899.99 ,USD,4.5,506,2,$715.67 ,400+ bought in past month,"FREE delivery Tue, Sep 24"
B000050FZP,"AT&amp;T 210 Basic Trimline Corded Phone, No AC Power Required, Wall-Mountable, White",$15.95 ,$18.86 ,USD,4.2,19530,49,$8.61 ,1K+ bought in past month,"FREE delivery Thu, Sep 26 on $35 of items shipped by AmazonOr fastest delivery Tue, Sep 24"
B09R1RKWPM,"AT&amp;T TRIMLINE 210 Corded Home Phone, No AC Power Required, Improved Easy-Wall-Mount, Lighted Big Button Keypad, 13 SpeedDial Keys, Last Number Redial, Mute, Flash, Volume Control, Beige",$16.14 ,$16.95 ,USD,4.3,2962,3,$9.65 ,1K+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B0CN1Q2X3B,"SAMSUNG Galaxy A25 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Stereo Speakers, US Version, 2024, Black",$249.99 ,$299.99 ,USD,3.4,262,2,$164.31 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B0CRWT7WF1,Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Black,$98.00 ,$118.97 ,USD,4.0,115,14,$95.97 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B07VCB7P1L,Kyocera DuraForce Pro 2 with Sapphire Shield E6910 Black - Verizon (Renewed),$72.25 ,$91.00 ,USD,3.5,381,7,$64.30 ,50+ bought in past month,"FREE delivery Tue, Sep 24"
B084KS5WYC,Samsung Galaxy A10e 32GB A102U GSM Unlocked Phone - Black (Renewed),$69.07 ,$77.00 ,USD,3.9,3440,26,$68.95 ,500+ bought in past month,"FREE delivery Sat, Sep 21"
B0CNL663BM,Apple iPhone 8 64GB Unlocked - Gray,$120.00 ,$139.00 ,USD,4.1,269,10,$89.99 ,1K+ bought in past month,"FREE delivery Sat, Sep 21"
B092499CS7,"AT&amp;T CL82267 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Intercom and Long Range, Black &amp; Wood Grain Finish",$46.49 ,$65.95 ,USD,4.3,7573,2,$32.72 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B0CF2PV74C,Motorola Moto G54 Dual-SIM 256GB ROM + 8GB RAM (Only GSM | No CDMA) Factory Unlocked 5G Smartphone (Midnight Blue) - International Version,$154.98 ,$177.00 ,USD,4.4,1073,6,$139.50 ,200+ bought in past month,"FREE delivery Tue, Sep 24"
B0CGTKM9WC,"Google Pixel 8 - Unlocked Android Smartphone with Advanced Pixel Camera, 24-Hour Battery, and Powerful Security - Hazel - 128 GB",$499.00 ,$699.00 ,USD,4.3,2391,5,$475.00 ,400+ bought in past month,"FREE delivery Tue, Sep 24"
B0B8F1S1XG,"AT&amp;T CL82219 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Intercom and Long Range, Black",$51.60 ,$65.95 ,USD,4.3,574,6,$27.67 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B0CD8YMKWC,"SAMSUNG Galaxy S23 FE Cell Phone, 256GB, Unlocked Android Smartphone, Long Battery Life, Premium Processor, Tough Gorilla Glass Display, Hi-Res 50MP Camera, US Version, 2023, Cream",$559.99 ,$659.99 ,USD,4.5,1159,2,$451.85 ,100+ bought in past month,"FREE delivery Tue, Sep 24"
B0DB88HK1Z,Reno 11 Pro Unlocked Android Phone 6.7-inch HD LCD Unlocked Cell Phone 8GB+256GB Android 13 Smartphone 6000 mAh Large Battery Unlocked Phone 50MP+13MP Camera Dual SIM (Rock Grey),$99.99 ,$119.99 ,USD,2.8,6,1,$99.99 ,List: ,"FREE delivery Wed, Sep 25"
B0BP8GMBPF,ONEPLUS 10T | Moonstone Black | 5G Unlocked Android Smartphone U.S Version | 8GB RAM+128GB Storage (Renewed),$204.95 ,$389.00 ,USD,3.8,73,1,$204.95 ,200+ bought in past month,"FREE delivery Tue, Sep 24"
B0B8F1S1XG,"AT&amp;T CL82219 DECT 6.0 2-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Intercom and Long Range, Black",$51.60 ,$65.95 ,USD,4.3,574,6,$27.67 ,500+ bought in past month,"FREE delivery Tue, Sep 24"
B0DB88HK1Z,Reno 11 Pro Unlocked Android Phone 6.7-inch HD LCD Unlocked Cell Phone 8GB+256GB Android 13 Smartphone 6000 mAh Large Battery Unlocked Phone 50MP+13MP Camera Dual SIM (Rock Grey),$99.99 ,$119.99 ,USD,2.8,6,1,$99.99 ,List: ,"FREE delivery Wed, Sep 25"
B086R819LS,"VTech IS8151-5 Super Long Range 5 Handset DECT 6.0 Cordless Phone for Home with Answering Machine, 2300 ft Range, Call Blocking, Bluetooth, Headset Jack, Power Backup, Intercom, Expandable to 12 HS",$148.87 ,$164.95 ,USD,4.2,8627,5,$51.94 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
B09RNBM76R,"SAMSUNG Galaxy XCover6 Pro 5G | Rugged (IP68 Rated) Unlocked (Verizon, AT&amp;T, T-Mobile, US Cellular) | Dual Sim (1 Nano + 1 eSIM) | 128GB | US Version (2022 Model) | Black (SM-G736UZKEXAA)",$124.99 ,$499.99 ,USD,3.9,98,7,$98.99 ,100+ bought in past month,"FREE delivery Tue, Sep 24"
B0D18SMB1X,"SAMSUNG Galaxy Z Fold 6 AI Cell Phone, 512GB Unlocked Android Smartphone, Circle to Search, Handsfree Live Interpreter, AI Photo Edits, Large Screen, 2024,US 1 Yr Manufacturer Warranty, Silver Shadow","$1,614.99 ","$2,019.99 ",USD,4.1,83,10,"$1,583.65 ",300+ bought in past month,"FREE delivery Tomorrow, Sep 20 Only 5 left in stock - order soon."
B09ZRTQXQ7,"Samsung Galaxy A13 5G (64GB, 4GB) 6.5&quot; HD+, 50MP Triple Camera, 5000mAh Battery, 5G / 4G Volte (for T-Mobile, Metro, Sprint Only) A136U (Black) (Renewed)",$94.00 ,$179.00 ,USD,4.0,171,21,$77.67 ,100+ bought in past month,"FREE delivery Tue, Sep 24 Only 13 left in stock - order soon."
B0CWLJSSSX,"[New] VTech VG131-21 DECT 6.0 2-Handset Cordless Phone - Bluetooth Connection, Blue-White Display, Big Buttons, Full Duplex Speakerphone, Caller ID, Easy Wall Mount, 1000ft Range (Black)",$30.52 ,$32.95 ,USD,4.2,40734,2,$19.99 ,200+ bought in past month,"FREE delivery Tue, Sep 24 on $35 of items shipped by Amazon"
B08HBPXM97,Kyocera DuraXV Extreme E4810 Verizon Rugged LTE Flip Basic Cell Phone Camera GPS Black- (Renewed),$159.99 ,$199.75 ,USD,3.8,275,7,$125.98 ,100+ bought in past month,"FREE delivery Fri, Sep 27 Or fastest delivery Mon, Sep 23"
B08L9MY937,Samsung - Galaxy A71 A716U 5G Fully Unlocked 128GB - Prism Cube Black (Renewed),$145.00 ,$166.00 ,USD,4.0,1769,16,$111.10 ,300+ bought in past month,"FREE delivery Tue, Sep 24"
